Name,Address,Year,Keywords,Latitude,Longitude,Belongs_to_Berlin,matched_styles,matched_types
Wohnsiedlung Kladow-Hottengrund,Berlin Bezirk Spandau Kladow(Hottengrund) Pottensteiner Weg,1936,Wohnanlage,52.4505726,13.1178065,True,,
Privathaus,Berlin,1990–1994,5-geschossig Geschosswohnung Mehrfamilienhaus Schichtung,52.52000659999999,13.404954,True,,Wohngebäude - Einfamilienhaus
Elisabethkirche,Berlin Bezirk Mitte Mitte Invalidenstraße3,1832–1834,Putzbau Portikus dorische Empore Kirche Klassizismus Portikus Solitär Sankt Elisabeth,52.5331269,13.3972411,True,Klassizismus - Klassizismus,Öffentliche Gebäude - Schutzbau
Orthodoxe Synagoge,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Fraenkelufer10-16,1913–1916,Synagoge Denkmalschutz Synagogengebäude Pfeilerbasilika barocken Portikus Synagoge Stilelemente Synagoge,52.4960196,13.416816,True,Barock/Rokoko - Barock,Denkmalschutz - Denkmalschutz
Haus Dr. Lampl,Berlin Bezirk Charlottenburg-Wilmersdorf Grunewald Waldmeisterstraße 2,1925–1926,Einfamilienhaus,52.47432879999999,13.2774891,True,,Wohngebäude - Einfamilienhaus
Schloss Köpenick,Berlin Bezirk Treptow-Köpenick Köpenick Schlossinsel,1677–1688,Corps de Logis Arkaden Barock Rokoko Barockgarten Landschaftspark Barock Schloss,52.4427782,13.572733,True,Barock/Rokoko - Barock,Öffentliche Gebäude - Schloss
Durchbruch der Französischen Straße und der Jägerstraße,Berlin Bezirk Mitte Mitte Französische Straße;Jägerstraße,ca. 1930,Blockrandbebauung Lage: Stadt Stadtplanung Verkehr Wettbewerb,52.5140116,13.3919722,True,,Öffentliche Gebäude - Stadtplanung
"Stadtvilla an der Rauchstraße, Haus 8",Berlin Bezirk Mitte Tiergarten Rauchstraße5,bis 1985,5-geschossig Form: Kubus IBA 1984 (Berlin) Lochfassade Mehrfamilienhaus Solitär Dachüberstand,52.514534,13.3501015,True,,Wohngebäude - Einfamilienhaus
Wohnanlage Grellstraße,Berlin Bezirk Pankow Prenzlauer Berg Grellstraße; Rietzestraße,1927–1928,Flachdach Internationaler Stil Mehrfamilienhaus Wohnanlage Zeile Putzfassade,52.5429954,13.4370052,True,Moderne - Internationaler Stil,Wohngebäude - Einfamilienhaus
Geschäftshaus,Berlin Bezirk Tempelhof-Schöneberg Schöneberg Bayreuther Straße,ca. 2000,,52.5021974,13.3440859,True,,
Villa von der Heydt,Berlin Bezirk Mitte Tiergarten Von-der-Heydt-Straße 18,1860–1862,Villa Denkmalschutz Anklängen an Renaissance-Formen Giebel Erker ionischen Freitreppe rekonstruiert Einfamilienhaus Villa,52.506696,13.3551793,True,Renaissance - Renaissance,Wohngebäude - Einfamilienhaus
Wohnhaus Hesse,Berlin Bezirk Steglitz-Zehlendorf Lankwitz Siemensstraße 44,1931–1933,Einfamilienhaus,52.4400919,13.3282284,True,,Wohngebäude - Einfamilienhaus
Bundespräsidialamt Berlin,Berlin Bezirk Mitte Tiergarten Spreeweg1,1994–1998,4-geschossig Bäume Form: oval Granit Lage: Park Lochfassade Mauerwerk Naturstein Regierungsgebäude Solitär Versorgungskern Wettbewerb Energiekonzept Öffentliche Verwaltung,52.514534,13.3501015,True,,Öffentliche Gebäude - Regierungsgebäude
Haus Karsch,Berlin Bezirk Steglitz-Zehlendorf Schlachtensee Klopstockstraße37,1960,1-geschossig Einfamilienhaus Mauerwerksfassade aus Ziegel Solitär,52.4401076,13.2143391,True,,Wohngebäude - Einfamilienhaus
Verlagshaus Rudolf-Mosse (Berliner Tageblatt) - Mosse-Haus,Berlin Bezirk Mitte Mitte Jerusalemer Straße46/47;Schützenstraße20-25; Reinhold-Huhn-Straße 22-25,1921–1923,"denkmalgeschütztes Sandsteinbau Jugendstil 6-geschossig 7-geschossig 8-geschossig Aufstockung Bürogebäude Eckhaus Eingang an der Ecke Erweiterung Fassadengliederung, horizontal Flachdach Stromlinienform Lage: Stadt Plastizität Abtreppung, horizontal Ecke, rund Verlagsgebäude",52.5104465,13.3980383,True,Historismus - Jugendstil,Öffentliche Gebäude - Regierungsgebäude
Wohn- und Geschäftshaus,Berlin Bezirk Mitte Mitte Pariser Platz6a,1997–1998,Geschäftshaus Mehrfamilienhaus,52.51689529999999,13.3778308,True,,Wohngebäude - Einfamilienhaus
Schiller-Theater (2. Bau),Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Bismarckstraße110,1950–1951,Amphitheater Theater alt-neu,52.5116251,13.3183943,True,,
Schalt- und Gleichrichterwerk Markgrafendamm,Berlin Bezirk Friedrichshain-Kreuzberg Friedrichshain Markgrafendamm,1928,Mauerwerksfassade aus Ziegel Technikgebäude Umspannstation Reihung,52.4999532,13.4660781,True,,Öffentliche Gebäude - Technikgebäude
Wohnhaus Kleinwächter,Berlin Bezirk Steglitz-Zehlendorf Lankwitz Franzstraße 15b,1933–1934,Einfamilienhaus,52.4342856,13.3326621,True,,Wohngebäude - Einfamilienhaus
Shell Haus,Berlin Bezirk Mitte Tiergarten Reichpietschufer60-62;Stauffenbergstraße26,1930–1931,"Denkmalschutz Stahlskelettbau Denkmalschutz Bürogebäude Dynamik Fensterband Höhenstaffelung Skelettbau aus Stahl Travertin Verwaltungsgebäude Ecke, abgerundet",52.50608,13.3629,True,,Öffentliche Gebäude - Regierungsgebäude
Bismarckturm,Berlin Bezirk Treptow-Köpenick Köpenick Am Müggelberg,1925,Denkmal Jugendstil Turm,52.4267597,13.6414285,True,Historismus - Jugendstil,Öffentliche Gebäude - Turm
Interbau-Bauteil (Wohnhaus),Berlin Bezirk Mitte Hansaviertel(Südliches Hansaviertel) Bartningallee12;Hanseatenweg,1957,IBA 1957 (Interbau) Mehrfamilienhaus,52.5184899,13.3450449,True,,Wohngebäude - Einfamilienhaus
Fabrikanlage,Berlin Bezirk Treptow-Köpenick Oberschöneweide Wilhelminenhofstraße,ca. 1925,Fabrik,52.4607317,13.5213195,True,,
Galerie Aedes East,Berlin Bezirk Mitte Mitte Rosenthaler Straße40/41,1995,Beleuchtung Innenarchitektur Kunstgalerie Museum für Architektur Sichtbeton Wand aus Sichtbeton Ausstellung: Architektur,52.52401829999999,13.4023995,True,Antike - Römische Architektur,Öffentliche Gebäude - Mausoleum
Internationale Bausstellung Berlin 1957 - Masterplan Hansaviertel,Berlin Bezirk Mitte Hansaviertel(Südliches Hansaviertel) Altonaer Straße;Bartningallee;Händelallee;Hanseatenweg;Klopstockstraße,1957,Internationalen Bauausstellung Interbau Denkmalschutz Großsiedlung IBA 1957 (Interbau) Stadtplanung Wohnanlage Wettbewerb,52.5179673,13.3421577,True,Moderne - Internationaler Stil,Öffentliche Gebäude - Stadtplanung
